"key","manufacturer","model","year","price","type","specialAccess","reward","specialOrigin","forzaEditionBoost","rarity","class","performanceIndex"
,"Abarth","124 Spider",2017,"43,500","Modern Sports Cars",,,,,"Rare","C",577
,"Abarth","695 Biposto",2016,"48,000","Hot Hatch",,,,,"Rare","B",607
,"Abarth","Fiat 131",1980,"38,000","Classic Rally",,,,,"Rare","D",449
,"Abarth","595 esseesse",1968,"35,000","Cult Cars",,,,,"Common","D",100
,"Acura","NSX",2017,"170,000","Modern Super Cars",,,,,"Rare","S1",850
,"Acura","RSX Type-S",2002,"25,000","Retro Hot Hatch",,,,,"Common","C",588
,"Acura","Integra Type-R",2001,"25,000","Retro Hot Hatch",,,,,"Common","C",596
,"Alfa Romeo","Stelvio Quadrifoglio",2018,"80,000","Sports Utility Heroes","DLC store","Free w/DLC","FH4 Car Pass",,"Common","A",752
,"Alfa Romeo","Giulia Quadrifoglio",2017,"120,000","Super Saloons",,"Loyalty Rewards",,,"Rare","A",795
,"Alfa Romeo","Giulia Quadrifoglio Forza Edition",2016,"370,000","Super Saloons","Exclusive","FP S8, Event S17.1",,"Event Influence","FE","S1",812
,"Alfa Romeo","4C",2014,"74,000","Modern Sports Cars",,,,,"Common","A",770
,"Alfa Romeo","8C Competizione Forza Edition",2007,"550,000","GT Cars","Exclusive","Wheelspin, S14.2 event, S19 Ranked",,"Credits","FE","S1",855
,"Alfa Romeo","8C Competizione",2007,"300,000","GT Cars",,,,,"Legendary","A",777
,"Alfa Romeo","33 Stradale",1968,"10,000,000","Classic Racers",,"Ranked (S19)",,,"Legendary","A",716
,"Alfa Romeo","Giulia TZ2",1965,"2,500,000","Classic Racers",,,,,"Legendary","B",639
,"Alfa Romeo","Giulia Sprint GTA Stradale",1965,"300,000","Rare Classics",,"Ranked (S4)",,,"Epic","D",432
,"Alfa Romeo","P3",1934,"10,000,000","Vintage Racers","Exclusive","Castle",,,"Legendary","B",626
,"Alpine","A110",2017,"250,000","Modern Sports Cars","Exclusive","FP S17","201912 Series 17",,"Epic","A",740
,"Alumi Craft","Class 10 Race Car",2015,"100,000","Offroad Buggies",,,,,"Epic","B",673
,"Alumi Craft","Class 10 Race Car Forza Edition",2015,"350,000","Offroad Buggies","Exclusive","S5 event",,"Destruction","FE","B",679
,"AMC","Gremlin X",1973,"35,000","Cult Cars",,,,,"Common","D",394
,"AMC","Javelin AMX",1971,"35,000","Classic Muscle",,,,,"Common","C",512
,"AMC","Rebel ""The Machine""",1970,"250,000","Classic Muscle","Exclusive","S10 event","201906 Series 10",,"Legendary","C",541
,"AMG TD","M12S Warthog CST",2554,"850,000","Extreme Offroad",,,,,"Legendary","A",756
,"Apollo","Intensa Emozione",2018,"1,050,000","Extreme Track Toys","Exclusive","S9 event","201905 Series 9",,"Legendary","S2",984
,"Ariel","Nomad",2016,"93,000","Offroad Buggies",,,,,"Epic","A",732
,"Ariel","Atom 500 V8",2013,"108,000","Extreme Track Toys","Exclusive","Horizon Life",,,"Epic","S2",970
,"Ascari","KZ1R",2012,"240,000","Modern Super Cars",,,,,"Legendary","S1",866
,"Aston Martin","DBS Superleggera",2019,"250,000","Super GT","Exclusive","S12","201908 Series 12",,"Epic","S1",853
,"Aston Martin","Vantage",2018,"430,000","Super GT","DLC store","Free w/DLC","FH4 Car Pass",,"Epic","S1",822
,"Aston Martin","Vulcan AMR Pro",2017,"1,500,000","Extreme Track Toys","Exclusive","S19.2 event","202002 Series 19",,"Epic","S2",954
,"Aston Martin","DB11 PreOrder Car",2017,"300,000","Super GT","DLC promo","Free w/DLC","FH4 Retail Bonus",,"Epic","S1",900
,"Aston Martin","Vanquish Zagato Coupe",2017,"250,000","Super GT","Exclusive","S12","201908 Series 12",,"Epic","S1",824
,"Aston Martin","DB11",2017,"300,000","Super GT",,,,,"Epic","S1",810
,"Aston Martin","Vulcan",2016,"1,500,000","Extreme Track Toys",,,,,"Legendary","S2",954
,"Aston Martin","Vulcan Forza Edition",2016,"1,750,000","Extreme Track Toys","Exclusive","Ranked S1, S4",,"Clean Skills","FE","S2",955
,"Aston Martin","Vantage GT12",2016,"400,000","Track Toys",,,,,"Epic","S1",846
,"Aston Martin","V12 Vantage S",2013,"240,000","Super GT",,,,,"Rare","S1",814
,"Aston Martin","Vanquish",2012,"348,000","Super GT",,,,,"Epic","S1",802
,"Aston Martin","One-77",2010,"1,400,000","Super GT",,,,,"Legendary","S1",863
,"Aston Martin","DB5",1964,"800,000","Rare Classics",,,,,"Epic","C",534
,"Aston Martin","DB4 GT Zagato",1960,"500,000","Classic Sports Cars","Exclusive","Barn Find (Seasonal)",,,"Legendary","B",619
,"Aston Martin","DBR1",1958,"10,000,000","Classic Racers",,,,,"Legendary","B",688
,"ATS","GT",2018,"250,000","Modern Super Cars","Exclusive","S16.3 Playlist","201911 Series 16",,"Epic","S1",894
,"Audi","R8 V10 plus",2016,"242,000","Modern Super Cars",,,,,"Legendary","S1",856
,"Audi","RS 6 Avant",2015,"150,000","Super Saloons",,,,,"Epic","A",778
,"Audi","TTS Coupe",2015,"52,000","Modern Sports Cars",,,,,"Rare","A",740
,"Audi","S1",2015,"35,000","Hot Hatch",,,,,"Rare","B",679
,"Audi","R8 Coupe V10 plus 5.2 FSI quattro",2013,"290,000","Modern Super Cars",,,,,"Rare","S1",824
,"Audi","RS 7 Sportback",2013,"225,000","Super Saloons",,,,,"Legendary","A",761
,"Audi","RS 4 Avant",2013,"83,000","Super Saloons",,,,,"Epic","A",750
,"Audi","RS 5 Coupe",2011,"88,000","Super Saloons",,,,,"Epic","A",750
,"Audi","RS 3 Sportback",2011,"42,000","Super Hot Hatch",,,,,"Rare","B",699
,"Audi","TT RS Coupe",2010,"66,000","Modern Sports Cars","Exclusive","Wheelspin, S10 event",,,"Epic","A",722
,"Audi","RS 6",2009,"155,000","Super Saloons",,,,,"Epic","A",743
,"Audi","RS 4",2006,"53,000","Super Saloons",,,,,"Epic","A",729
,"Audi","RS 6",2003,"105,000","Retro Saloons",,,,,"Epic","A",710
,"Audi","RS 4 Avant",2001,"94,000","Retro Saloons",,,,,"Epic","B",695
,"Audi","RS 2 Avant",1995,"50,000","Retro Saloons",,,,,"Rare","B",616
,"Audi","#2 Audi Sport quattro S1",1986,"375,000","Rally Monsters",,,,,"Epic","S1",850
,"Audi","Sport quattro",1983,"175,000","Retro Rally","Exclusive","Barn Find",,,"Legendary","B",621
,"Austin","FX4 Taxi",1964,"20,000","Cult Cars","Exclusive","Wheelspin, Story, S5 Gift",,,"Common","D",100
,"Austin-Healey","3000 MkIII",1965,"50,000","Classic Sports Cars",,,,,"Rare","D",326
,"Austin-Healey","Sprite MkI",1958,"20,000","Classic Sports Cars",,,,,"Common","D",100
,"Auto Union","Type D",1939,"10,000,000","Vintage Racers",,,,,"Legendary","B",692
,"BAC","Mono",2014,"160,000","Track Toys",,"Event S17.2",,,"Rare","S1",900
,"Bentley","Continental Supersports",2017,"200,000","GT Cars",,,,,"Rare","A",798
,"Bentley","Bentayga",2016,"180,000","Sports Utility Heroes",,,,,"Epic","A",758
,"Bentley","Continental GT Speed",2013,"242,000","GT Cars",,,,,"Rare","A",774
,"Bentley","Continental GT Speed Forza Edition",2013,"492,000","Track Toys","Exclusive","S10 FP",,"Clean Skills","FE","S1",835
,"Bentley","4-1/2 Liter Supercharged",1931,"10,000,000","Vintage Racers","Exclusive","Castle Barn Find",,,"Legendary","D",200
,"Bentley","8-Liter",1931,"1,500,000","Rare Classics",,"Story",,,"Legendary","D",176
,"BMW","Z4 Roadster",2019,"35,000","Modern Sports Cars","Exclusive","S7 FP, S20.2 event","201903 Series 7",,"Common","A",722
,"BMW","M5",2018,"105,000","Super Saloons","DLC store","Free w/DLC","201812 Fortune",,"Epic","S1",806
,"BMW","i8 Roadster",2018,"150,000","Modern Super Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Epic","A",776
,"BMW","M4 GTS",2016,"135,000","Track Toys",,,,,"Rare","S1",841
,"BMW","M2 Coupe",2016,"69,000","Super Saloons",,,,,"Rare","A",737
,"BMW","X6 M",2015,"130,000","Sports Utility Heroes",,,,,"Epic","A",727
,"BMW","i8",2015,"140,000","Modern Super Cars",,,,,"Rare","A",785
,"BMW","M4 Coupe",2014,"92,000","Super Saloons",,,,,"Epic","A",800
,"BMW","M6 Coupe",2013,"120,000","GT Cars",,,,,"Epic","A",779
,"BMW","M6 Coupe Forza Edition",2013,"370,000","GT Cars","Exclusive","Wheelspin",,"Drift Skills","FE","A",780
,"BMW","M5",2012,"112,000","Super Saloons",,,,,"Rare","A",790
,"BMW","X5 M",2011,"100,000","Sports Utility Heroes",,,,,"Epic","A",708
,"BMW","1 Series M Coupe",2011,"55,000","Super Saloons",,,,,"Rare","A",731
,"BMW","Z4 sDrive35is",2011,"55,000","Modern Sports Cars",,,,,"Rare","A",727
,"BMW","M3 GTS",2010,"250,000","Track Toys","Exclusive","S15.3 event","201910 Series 15",,"Epic","S1",814
,"BMW","M5",2009,"90,000","Super Saloons",,,,,"Rare","A",758
,"BMW","M3",2008,"48,000","Super Saloons",,,,,"Rare","A",745
,"BMW","Z4 M Coupe",2008,"82,000","Modern Sports Cars",,,,,"Epic","A",710
,"BMW","M3",2005,"33,000","Retro Saloons","Exclusive","Horizon Life",,,"Common","A",706
,"BMW","M5",2003,"30,000","Retro Saloons",,,,,"Common","A",719
,"BMW","M3-GTR",2002,"120,000","Track Toys","Exclusive","FP S7, Events (S11.2, S14.3)","201903 Series 7",,"Legendary","A",765
,"BMW","Z3 M Coupe",2002,"30,000","Retro Sports Cars",,,,,"Common","A",713
,"BMW","M3",1997,"35,000","Retro Saloons",,,,,"Common","B",694
,"BMW","M5",1995,"25,000","Retro Saloons",,,,,"Common","B",634
,"BMW","M3",1991,"50,000","Retro Saloons",,,,,"Rare","C",586
,"BMW","M5",1988,"50,000","Retro Saloons",,,,,"Rare","C",594
,"BMW","M5 Forza Edition",1988,"304,000","Retro Saloons","Exclusive","Wheelspin, S8 Ranked, S12.4 event",,"Event Influence","FE","B",601
,"BMW","M1",1981,"585,000","Retro Super Cars",,,,,"Epic","B",652
,"BMW","2002 Turbo",1973,"26,000","Classic Sports Cars",,,,,"Common","D",500
,"BMW","Isetta 300 Export",1957,"45,000","Cult Cars",,,,,"Rare","D",100
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"Bowler","EXR S",2012,"2,000,000","Extreme Offroad",,,,,"Legendary","A",760
,"Bugatti","Divo",2019,"250,000","Extreme Track Toys","Exclusive","S15","201910 Series 15",,"Legendary","S2",958
,"Bugatti","Chiron",2018,"2,400,000","Hypercars",,,,,"Legendary","S2",938
,"Bugatti","Veyron Super Sport",2011,"2,200,000","Hypercars",,,,,"Legendary","S2",922
,"Bugatti","EB110 Super Sport",1992,"1,700,000","Retro Super Cars",,"Event S17.1",,,"Legendary","S1",829
,"Bugatti","Type 35 C",1926,"10,000,000","Vintage Racers",,"Ranked (S7, S17), FP (S11)",,,"Legendary","D",374
,"Buick","Regal GNX",1987,"130,000","Retro Muscle",,,,,"Rare","C",567
,"Buick","GSX",1970,"250,000","Classic Muscle","Exclusive","S9 FP","201905 Series 9",,"Legendary","C",572
,"Cadillac","CTS-V Sedan",2016,"80,000","Modern Muscle",,,,,"Common","A",785
,"Cadillac","ATS-V",2016,"65,000","Modern Muscle",,,,,"Common","A",737
,"Cadillac","XTS Limousine",2013,"48,500","Super Saloons","Exclusive","Wheelspin, FP (S10, S14)",,,"Rare","C",534
,"Cadillac","Escalade ESV",2012,"250,000","Sports Utility Heroes","Exclusive","S6 event, S14.3 FP","201902 Series 6",,"Rare","C",564
,"Cadillac","Eldorado Biarritz Convertible",1959,"60,000","Rods and Customs","DLC store","Free w/DLC","FH4 Car Pass",,"Common","D",400
,"Can-Am","Maverick X RS Turbo R",2018,"25,000","Offroad Buggies","DLC store","Free w/DLC","FH4 Car Pass",,"Common","B",692
,"Caterham","Superlight R500",2013,"82,000","Track Toys",,,,,"Rare","S1",804
,"Caterham","Superlight R500 Forza Edition",2013,"332,000","Track Toys","Exclusive","Wheelspin, S11.4 Playlist",,"Drift Skills","FE","S1",804
,"Chevrolet","Corvette ZR1",2019,"255,000","Track Toys","DLC store","Free w/DLC","FH4 Car Pass",,"Epic","S1",895
,"Chevrolet","Silverado 1500 DeBerti Design Drift Truck",2018,"300,000","Extreme Track Toys","DLC store","Free w/DLC","FH4 Car Pass",,"Epic","S1",849
,"Chevrolet","Camaro ZL1 1LE",2018,"105,000","Track Toys","DLC store","Free w/DLC","FH4 Car Pass",,"Rare","S1",849
,"Chevrolet","Camaro ZL1 Preorder Car",2017,"60,000","Modern Muscle","DLC promo","Free w/DLC","FH4 Retail Bonus",,"Rare","S1",900
,"Chevrolet","Camaro ZL1",2017,"60,000","Modern Muscle",,,,,"Rare","S1",848
,"Chevrolet","Colorado ZR2",2017,"46,000","Offroad","Exclusive","Ranked S3","201810 Series 1",,"Common","C",598
,"Chevrolet","Corvette Z06",2015,"110,000","Modern Muscle",,,,,"Epic","S1",871
,"Chevrolet","Camaro Z/28",2015,"86,000","Track Toys",,,,,"Common","S1",818
,"Chevrolet","Corvette ZR1",2009,"125,000","Modern Muscle",,,,,"Rare","S1",824
,"Chevrolet","Corvette Z06",2002,"35,000","Retro Muscle",,,,,"Common","A",748
,"Chevrolet","Impala Super Sport",1996,"250,000","Retro Muscle","Exclusive","FP (S11.3, S14.4)","201907 Series 11",,"Epic","C",510
,"Chevrolet","Corvette ZR-1",1995,"45,000","Retro Muscle",,,,,"Rare","A",741
,"Chevrolet","Monte Carlo Super Sport",1988,"25,000","Retro Muscle","Exclusive","Wheelspin, Story",,,"Common","D",415
,"Chevrolet","Camaro  Z28",1979,"35,000","Classic Muscle","Exclusive","Wheelspin, S10 event, S14.1 Playground",,,"Common","D",460
,"Chevrolet","Chevelle Super Sport Barrett-Jackson Edition",1970,"105,000","Classic Muscle","DLC store","Free w/DLC & Car Pass","201904 B-Jackson",,"Epic","A",757
,"Chevrolet","Chevelle Super Sport 454",1970,"80,000","Classic Muscle",,,,,"Common","C",542
,"Chevrolet","El Camino Super Sport 454",1970,"65,000","Vans & Utility",,,,,"Rare","C",556
,"Chevrolet","Corvette ZR-1",1970,"310,000","Classic Muscle",,,,,"Epic","B",605
,"Chevrolet","Camaro Z28",1970,"53,000","Classic Muscle",,,,,"Rare","C",547
,"Chevrolet","Nova Super Sport 396",1969,"47,000","Classic Muscle",,,,,"Rare","C",552
,"Chevrolet","Nova Super Sport 396 Forza Edition",1969,"297,000","Classic Muscle","Exclusive","Wheelspin, S15.1 event",,"Speed Skills","FE","B",657
,"Chevrolet","Camaro Super Sport Coupe",1969,"110,000","Classic Muscle",,,,,"Rare","C",566
,"Chevrolet","Corvette Stingray 427",1967,"150,000","Classic Muscle",,,,,"Rare","B",621
,"Chevrolet","Chevelle Super Sport 396",1967,"250,000","Classic Muscle","Exclusive","S8 FP, S19 Ranked","201904 Series 8",,"Legendary","C",561
,"Chevrolet","Nova Super Sport",1966,"70,000","Classic Muscle",,,,,"Common","C",582
,"Chevrolet","Impala Super Sport 409",1964,"46,000","Rods and Customs",,,,,"Rare","C",527
,"Chevrolet","Corvette",1960,"150,000","Classic Sports Cars",,,,,"Rare","C",521
,"Chevrolet","Bel Air",1957,"130,000","Rods and Customs",,,,,"Rare","D",444
,"Chevrolet","150 Utility Sedan",1955,"35,000","Rods and Customs",,,,,"Rare","D",286
,"Chevrolet","Corvette",1953,"135,000","Classic Sports Cars",,,,,"Rare","D",347
,"Chrysler","VH Valiant Charger R/T E49",1972,"60,000","Classic Muscle",,,,,"Rare","C",557
,"Datsun","510",1970,"25,000","Cult Cars",,,,,"Common","D",209
,"Dodge","Challenger SRT Demon",2018,"150,000","Modern Muscle","Exclusive","Story",,,"Epic","S1",823
,"Dodge","Durango SRT",2018,"70,000","Sports Utility Heroes",,,,,"Rare","A",709
,"Dodge","Viper ACR",2016,"150,000","Track Toys",,,,,"Rare","S1",893
,"Dodge","Challenger SRT Hellcat",2015,"75,000","Modern Muscle",,,,,"Rare","A",776
,"Dodge","Charger SRT Hellcat",2015,"80,000","Modern Muscle",,,,,"Epic","A",785
,"Dodge","SRT Viper GTS",2013,"95,000","Modern Muscle",,,,,"Rare","S1",831
,"Dodge","Viper SRT10 ACR",2008,"90,000","Track Toys",,,,,"Rare","S1",866
,"Dodge","Viper GTS ACR",1999,"75,000","Retro Muscle",,,,,"Rare","A",732
,"Dodge","Challenger R/T",1970,"210,000","Classic Muscle",,,,,"Epic","C",562
,"Dodge","Charger R/T",1969,"103,000","Classic Muscle",,,,,"Rare","C",558
,"Dodge","Charger Daytona HEMI",1969,"900,000","Classic Muscle",,"S7 Event",,,"Epic","C",595
,"Dodge","Dart HEMI Super Stock",1968,"125,000","Classic Muscle",,,,,"Rare","B",626
,"Donkervoort","D8 GTO",2013,"175,000","Track Toys",,,,,"Rare","S1",827
,"DS Automobiles","DS3 Racing",2011,"38,000","Hot Hatch","Exclusive","S4 event","201812 Series 4",,"Common","B",624
,"Eagle (U.K.)","Speedster",2012,"550,000","Modern Sports Cars",,,,,"Legendary","A",740
,"Exomotive","Exocet Off-Road",2018,"50,000","Offroad Buggies","DLC store","Free w/DLC","201812 Fortune",,"Epic","A",729
,"Ferrari","488 Pista",2019,"250,000","Track Toys","Exclusive","S16.1 Trial","201911 Series 16",,"Legendary","S2",912
,"Ferrari","812 Superfast",2017,"1,400,000","Super GT","Exclusive","Ranked S3","201810 Series 1",,"Common","S1",897
,"Ferrari","GTC4Lusso",2017,"430,000","Super GT","DLC store","Free w/DLC","FH4 Car Pass",,"Legendary","S1",840
,"Ferrari","F12tdf",2015,"500,000","Hypercars",,,,,"Epic","S2",901
,"Ferrari","488 GTB",2015,"290,000","Modern Super Cars",,,,,"Epic","S1",883
,"Ferrari","FXX K",2014,"2,700,000","Extreme Track Toys",,,,,"Legendary","S2",989
,"Ferrari","California T",2014,"240,000","Super GT",,,,,"Rare","S1",804
,"Ferrari","LaFerrari",2013,"1,500,000","Hypercars",,,,,"Legendary","S2",966
,"Ferrari","458 Speciale",2013,"340,000","Modern Super Cars",,,,,"Epic","S1",885
,"Ferrari","599XX Evoluzione",2012,"250,000","Extreme Track Toys","Exclusive","S8 FP, S14.1 event","201904 Series 8",,"Epic","S2",979
,"Ferrari","F12berlinetta",2012,"380,000","Super GT",,,,,"Epic","S1",868
,"Ferrari","FF",2011,"255,000","Modern Super Cars",,,,,"Legendary","S1",815
,"Ferrari","599XX",2010,"1,000,000","Extreme Track Toys",,,,,"Legendary","S2",937
,"Ferrari","599 GTO",2010,"690,000","Super GT",,,,,"Epic","S1",861
,"Ferrari","458 Italia",2009,"300,000","Modern Super Cars",,,,,"Epic","S1",846
,"Ferrari","430 Scuderia",2007,"300,000","Modern Super Cars",,,,,"Epic","S1",834
,"Ferrari","FXX",2005,"2,500,000","Extreme Track Toys","DLC store","Free w/DLC","FH4 Car Pass",,"Common","S2",961
,"Ferrari","360 Challenge Stradale",2003,"200,000","Retro Super Cars",,,,,"Rare","A",792
,"Ferrari","Enzo Ferrari",2002,"2,800,000","Retro Super Cars",,,,,"Legendary","S1",874
,"Ferrari","575M Maranello",2002,"140,000","Retro Super Cars",,,,,"Rare","A",772
,"Ferrari","F50 GT",1996,"1,200,000","Extreme Track Toys",,"S7 Playlist",,,"Legendary","S2",992
,"Ferrari","F50",1995,"2,000,000","Retro Super Cars",,"S10 event, S20.2 event",,,"Legendary","S1",815
,"Ferrari","F355 Berlinetta",1994,"190,000","Retro Super Cars",,,,,"Rare","A",737
,"Ferrari","512 TR",1992,"270,000","Retro Super Cars",,,,,"Legendary","A",754
,"Ferrari","F40 Competizione",1989,"3,000,000","Extreme Track Toys",,,,,"Legendary","S2",961
,"Ferrari","F40",1987,"1,200,000","Retro Super Cars",,,,,"Legendary","S1",807
,"Ferrari","288 GTO",1984,"3,100,000","Retro Super Cars",,,,,"Legendary","A",768
,"Ferrari","512 S",1970,"250,000","Classic Racers","Exclusive","S16.2 Playlist","201911 Series 16",,"Legendary","S1",872
,"Ferrari","Dino 246 GT",1969,"425,000","Rare Classics",,,,,"Legendary","C",512
,"Ferrari","365 GTB/4",1968,"600,000","Rare Classics",,,,,"Epic","B",641
,"Ferrari","#24 Ferrari Spa 330 P4",1967,"10,000,000","Classic Racers",,,,,"Legendary","A",799
,"Ferrari","250LM",1963,"10,000,000","Classic Racers",,,,,"Legendary","A",732
,"Ferrari","250 GTO",1962,"10,000,000","Classic Racers",,,,,"Legendary","B",679
,"Ferrari","250 GT Berlinetta Lusso",1962,"2,600,000","Rare Classics",,,,,"Legendary","C",568
,"Ferrari","250 Testa Rossa",1957,"10,000,000","Classic Racers",,"S13 Ranked, S16 FP, S20 FP",,,"Legendary","A",704
,"Ferrari","250 California",1957,"8,000,000","Rare Classics",,,,,"Legendary","C",540
,"Ferrari","500 Mondial",1953,"1,000,000","Classic Racers",,"Ranked (S15, S17)",,,"Legendary","C",544
,"Ferrari","166MM Barchetta",1948,"6,500,000","Classic Racers",,"S14 FP",,,"Legendary","C",554
,"FIAT","124 Sport Spider",1980,"25,000","Classic Sports Cars",,,,,"Common","D",244
,"FIAT","Dino 2.4 Coupe",1969,"250,000","Classic Sports Cars","Exclusive","S10.2 FP","201906 Series 10",,"Legendary","D",468
,"Ford","Ranger Raptor",2019,"58,000","Offroad",,,"201907 Series 11",,"Epic","D",498
,"Ford","#25 Mustang RTR",2018,"500,000","Extreme Track Toys","Exclusive","S7 FP, S14.1 Trial","201903 Series 7",,"Epic","S1",871
,"Ford","#88 Mustang RTR",2018,"500,000","Extreme Track Toys","Exclusive","S7 FP","201903 Series 7",,"Epic","S1",871
,"Ford","Mustang GT DeBerti Design",2018,"500,000","Modern Muscle","DLC store","Free w/DLC","FH4 Car Pass",,"Epic","S1",835
,"Ford","Mustang RTR Spec 5",2018,"500,000","Modern Muscle","Exclusive","S7 FP","201903 Series 7",,"Epic","A",780
,"Ford","Mustang GT",2018,"40,000","Modern Muscle",,"Loyalty Rewards",,,"Common","A",778
,"Ford","F-150 Prerunner Deberti Design Truck",2018,"250,000","Extreme Offroad","Exclusive","Eliminator, S14","201909 Series 14",,"Epic","A",750
,"Ford","#14 Rahal Letterman Lanigan Racing GRC Fiesta",2017,"500,000","Rally Monsters",,,,,"Legendary","S1",880
,"Ford","GT",2017,"400,000","Modern Super Cars",,,,,"Epic","S1",900
,"Ford","Focus RS Preorder Car",2017,"59,000","Super Hot Hatch","DLC promo","Free w/DLC","FH4 Retail Bonus",,"Rare","A",800
,"Ford","M-Sport Fiesta RS",2017,"500,000","Rally Monsters",,,,,"Legendary","S1",819
,"Ford","Focus RS",2017,"59,000","Super Hot Hatch",,,,,"Rare","A",718
,"Ford","F-150 Raptor",2017,"63,000","Offroad",,"Loyalty Rewards",,,"Rare","B",627
,"Ford","Shelby GT350R",2016,"75,000","Track Toys",,,,,"Rare","S1",840
,"Ford","Falcon GT F 351",2015,"60,000","Modern Muscle",,,,,"Common","A",739
,"Ford","#11 Rockstar F-150 Trophy Truck",2014,"500,000","Extreme Offroad",,,,,"Legendary","A",785
,"Ford","FPV Limited Edition Pursuit Ute",2014,"50,000","Vans & Utility",,,,,"Rare","A",710
,"Ford","Ranger T6 Rally Raid",2014,"500,000","Extreme Offroad",,,,,"Legendary","A",703
,"Ford","Fiesta ST",2014,"25,000","Hot Hatch",,,,,"Common","B",621
,"Ford","Shelby GT500",2013,"115,000","Modern Muscle",,,,,"Epic","A",774
,"Ford","Transit SuperSportVan Forza Edition",2011,"300,000","Vans & Utility","DLC Exclusive","Free w/DLC","FH4 VIP","Speed Skills","FE","B",695
,"Ford","F-150 SVT Raptor",2011,"42,000","Offroad","Exclusive","Wheelspin, S10 event",,,"Common","C",564
,"Ford","Transit SuperSportVan",2011,"50,000","Vans & Utility",,"Story: Express",,,"Rare","D",416
,"Ford","Crown Victoria Police Interceptor",2010,"25,000","Retro Muscle","Exclusive","Wheelspin, FP (S8, S16)",,,"Common","C",521
,"Ford","Focus RS",2009,"25,000","Super Hot Hatch",,,,,"Rare","B",696
,"Ford","GT",2005,"300,000","Retro Super Cars",,,,,"Epic","S1",810
,"Ford","Focus RS",2003,"30,000","Modern Rally",,,,,"Common","B",649
,"Ford","SVT Cobra R",2000,"55,000","Retro Muscle",,,,,"Common","B",682
,"Ford","Supervan 3",1994,"500,000","Track Toys","Exclusive","S19.3 event","202002 Series 19",,"Epic","S1",828
,"Ford","SVT Cobra R",1993,"28,000","Retro Muscle","Exclusive","Wheelspin, S10 FP",,,"Common","C",533
,"Ford","Escort RS Cosworth",1992,"66,000","Retro Rally",,,,,"Rare","C",566
,"Ford","Sierra Cosworth RS500",1987,"66,000","Retro Saloons",,,,,"Rare","B",608
,"Ford","Escort RS Turbo",1986,"25,000","Retro Hot Hatch","Exclusive","Barn Find",,,"Legendary","C",506
,"Ford","RS200 Evolution",1985,"260,000","Rally Monsters","Exclusive","Horizon Life",,,"Legendary","S1",839
