"key","manufacturer","model","year","price","type","specialAccess","reward","specialOrigin","forzaEditionBoost","rarity","class","performanceIndex"
,"Ford","Fiesta XR2",1981,"25,000","Retro Hot Hatch",,,,,"Common","D",324
,"Ford","Escort RS1800",1977,"88,000","Classic Rally",,,,,"Epic","D",311
,"Ford","Bronco Barrett-Jackson Edition",1975,"105,000","Offroad","DLC store","Free w/DLC & Car Pass","201904 B-Jackson",,"Epic","B",630
,"Ford","Bronco",1975,"38,000","Offroad",,,,,"Common","D",379
,"Ford","XB Falcon GT",1973,"60,000","Classic Muscle","Exclusive","Wheelspin, S14.3 event",,,"Common","C",529
,"Ford","Capri RS3100",1973,"55,000","Classic Sports Cars",,,,,"Rare","D",478
,"Ford","Capri RS3100 Forza Edition",1973,"305,000","Rally Monsters","Exclusive","S4 Ranked, S7 Playlist",,"Skills","FE","B",613
,"Ford","Escort RS1600",1973,"73,000","Classic Rally",,,,,"Rare","D",440
,"Ford","Falcon XA GT-HO Forza Edition",1972,"330,000","Classic Muscle","Exclusive",,,"Speed Skills","FE","S1",811
,"Ford","Falcon XA GT-HO",1972,"80,000","Classic Muscle",,,,,"Common","B",608
,"Ford","Mustang Mach 1",1971,"45,000","Classic Muscle",,,,,"Rare","C",561
,"Ford","Mustang Boss 302",1969,"230,000","Classic Muscle","Exclusive","Story, Event (S9, S14.3)",,,"Legendary","C",564
,"Ford","Mustang GT 2+2 Fastback",1968,"50,000","Classic Muscle","DLC store","Free w/DLC","FH4 Car Pass",,"Epic","C",505
,"Ford","#2 GT40 MkII (Le Mans)",1966,"10,000,000","Classic Racers",,,,,"Legendary","A",795
,"Ford","Lotus Cortina",1966,"50,000","Classic Racers",,,,,"Rare","D",379
,"Ford","Mustang GT Coupe",1965,"46,000","Classic Muscle",,,,,"Common","C",507
,"Ford","Transit",1965,"25,000","Vans & Utility","DLC store","Free w/DLC","FH4 Car Pass",,"Common","D",100
,"Ford","GT40 Mk I",1964,"9,000,000","Classic Racers","Exclusive","Barn Find",,,"Legendary","A",772
,"Ford","Anglia 105E",1959,"20,000","Cult Cars",,,,,"Common","D",100
,"Ford","F-100",1956,"36,000","Rods and Customs",,,,,"Common","D",221
,"Ford","Super Deluxe Station Wagon",1946,"75,000","Rods and Customs",,,,,"Rare","D",100
,"Ford","De Luxe Coupe",1940,"44,000","Rods and Customs",,,,,"Common","D",100
,"Ford","Custom ""Double Down""",1932,"105,000","Rods and Customs","DLC store","Free w/DLC & Car Pass","201904 B-Jackson",,"Rare","S2",927
,"Ford","Roadster ""Hula Girl""",1932,"105,000","Rods and Customs","DLC store","Free w/DLC & Car Pass","201904 B-Jackson",,"Epic","C",590
,"Ford","De Luxe Five-Window Coupe",1932,"35,000","Rods and Customs",,,,,"Common","D",100
,"Formula Drift","#530 HSV Maloo Gen-F",2016,"300,000","Extreme Track Toys","DLC store","Free w/DLC","201810 Formula D",,"Legendary","S1",836
,"Formula Drift","#13 Ford Mustang",2015,"300,000","Extreme Track Toys","DLC store","Free w/DLC","201810 Formula D",,"Legendary","S1",852
,"Formula Drift","#43 Dodge Viper SRT10",2006,"300,000","Extreme Track Toys","DLC store","Free w/DLC","201810 Formula D",,"Legendary","S1",859
,"Formula Drift","#777 Nissan 240SX",1997,"300,000","Extreme Track Toys","DLC store","Free w/DLC","201810 Formula D",,"Legendary","S1",861
,"Formula Drift","#232 Nissan 240SX",1996,"300,000","Extreme Track Toys","DLC store","Free w/DLC","201810 Formula D",,"Legendary","S1",859
,"Formula Drift","#118 Nissan 240SX",1995,"300,000","Extreme Track Toys","DLC store","Free w/DLC","201810 Formula D",,"Legendary","S1",860
,"Formula Drift","#98 BMW 325i",1989,"300,000","Extreme Track Toys","DLC store","Free w/DLC","201810 Formula D",,"Legendary","S1",837
,"Funco Motorsports","F9",2018,"500,000","Offroad Buggies","DLC store","Free w/DLC","201812 Fortune",,"Legendary","S1",860
,"GMC","Vandura G-1500",1983,"25,000","Vans & Utility",,"Story: Express",,,"Common","D",151
,"HDT","VK Commodore Group A",1985,"28,000","Retro Muscle",,,,,"Common","C",545
,"Hennessey","Venom GT",2012,"1,200,000","Hypercars",,"Ranked S17",,,"Legendary","S2",930
,"Hillman","Imp",1966,"25,000","Cult Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Common","D",100
,"Holden","Torana A9X",1977,"130,000","Classic Muscle",,,,,"Rare","C",507
,"Holden","Sandman HQ panel van",1974,"55,000","Vans & Utility",,,,,"Rare","D",500
,"Holden","HQ Monaro GTS 350",1973,"75,000","Classic Muscle",,,,,"Rare","C",524
,"Honda","Civic Type R",2018,"59,000","Super Hot Hatch","Exclusive","S10.1 FP, S20.2 PG","201810 Series 1",,"Rare","A",745
,"Honda","Civic Coupe GRC",2016,"155,000","Rally Monsters","DLC store","Free w/DLC","FH4 Car Pass",,"Common","S1",878
,"Honda","Ridgeline Baja Trophy Truck",2015,"500,000","Extreme Offroad",,"S13.3 event",,,"Rare","A",751
,"Honda","Civic Type R",2015,"38,000","Super Hot Hatch",,,,,"Common","A",714
,"Honda","S2000 CR",2009,"25,000","Modern Sports Cars",,,,,"Common","B",647
,"Honda","Civic Type-R ",2007,"20,000","Hot Hatch",,,,,"Common","C",576
,"Honda","NSX-R",2005,"150,000","Retro Sports Cars","Exclusive","Wheelspin, S10 Trial, S14.1 FP",,,"Legendary","A",714
,"Honda","NSX-R GT",2005,"500,000","Retro Sports Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Legendary","A",744
,"Honda","Civic Type-R",2004,"25,000","Retro Hot Hatch","Exclusive","Wheelspin, Events (S13.3, S16.1)",,,"Common","B",610
,"Honda","S2000",2003,"25,000","Modern Sports Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Common","B",618
,"Honda","Civic Type R",1997,"25,000","Retro Hot Hatch",,,,,"Common","C",551
,"Honda","Prelude Si",1994,"250,000","Retro Hot Hatch","Exclusive","Events (S6, S13.4), PG (S16.1)","201902 Series 6",,"Epic","D",500
,"Honda","NSX-R",1992,"90,000","Retro Sports Cars",,,,,"Rare","A",707
,"Honda","CR-X SiR",1991,"20,000","Retro Hot Hatch",,,,,"Common","C",504
,"Honda","Civic CRX Mugen",1984,"40,000","Retro Hot Hatch","Exclusive","Events (S10, S14.1)","201811 Series 3",,"Rare","D",492
,"Honda","Civic RS",1974,"25,000","Retro Hot Hatch","DLC store","Free w/DLC","FH4 Car Pass",,"Common","D",320
,"Hoonigan","Gymkhana 10 Ford Fiesta ST",2017,"500,000","Rally Monsters","Exclusive","S10.2 FP, S14.4 PG","201811 Series 3",,"Legendary","S1",828
,"Hoonigan","Gymkhana 9 Ford Focus RS RX",2016,"500,000","Rally Monsters",,,,,"Legendary","S1",886
,"Hoonigan","Gymkhana 10 Ford Focus RS RX",2016,"500,000","Rally Monsters","Exclusive",,"201811 Series 3",,"Legendary","S1",886
,"Hoonigan","Gymkhana 8 Ford Fiesta ST RX43",2015,"500,000","Rally Monsters","DLC store","Free w/DLC","201812 Fortune",,"Legendary","S1",885
,"Hoonigan","Mazda RX-7 Twerkstallion",1992,"50,000","Retro Sports Cars",,,,,"Common","S1",838
,"Hoonigan","Gymkhana 10 Ford Escort Cosworth Group A",1991,"300,000","Rally Monsters","DLC store","Free w/DLC","FH4 Car Pass",,"Common","S1",880
,"Hoonigan","Rauh-Welt Begriff Porsche 911 Turbo",1991,"160,000","Retro Super Cars","Exclusive","Horizon Life",,,"Legendary","S1",850
,"Hoonigan","Ford RS200 Evolution",1986,"500,000","Rally Monsters","Exclusive","Events (S4, S7), S20.2 Trial","201812 Series 4",,"Legendary","S2",932
,"Hoonigan","Ford Escort RS1800",1978,"300,000","Rally Monsters",,,,,"Epic","S1",828
,"Hoonigan","Gymkhana 10 Ford F-150 'Hoonitruck'",1977,"500,000","Extreme Track Toys","DLC store","Free w/DLC","FH4 Car Pass",,"Common","S2",916
,"Hoonigan","Chevrolet Napalm Nova",1972,"50,000","Classic Muscle","Exclusive","Wheelspin",,,"Rare","A",765
,"Hoonigan","Ford ""Hoonicorn"" Mustang",1965,"500,000","Extreme Track Toys",,,,,"Legendary","S2",985
,"Hoonigan","Gymkhana 10 Ford Hoonicorn Mustang",1965,"500,000","Extreme Track Toys","Exclusive",,"201810 Series 2",,"Legendary","S2",985
,"Hoonigan","Chevrolet Bel Air",1955,"76,000","Rods and Customs",,,,,"Common","D",571
,"Hot Wheels","Rip Rod",2012,"300,000","Offroad Buggies","Exclusive","S5 event","201901 Series 5",,"Legendary","A",747
,"Hot Wheels","Bone Shaker",2011,"150,000","Rods and Customs","Exclusive","Event (S6, S14.3 PG)","201810 Series 2",,"Common","A",795
,"Hot Wheels","Ford Mustang",2005,"300,000","Extreme Track Toys","Exclusive","S5 event","201901 Series 5",,"Legendary","S1",841
,"Hot Wheels","Twin Mill",1969,"110,000","Rods and Customs","Exclusive","S2 event, S8 FP","201810 Series 2",,"Common","S1",821
,"HSV","Limited Edition Gen-F GTS Maloo",2014,"62,000","Vans & Utility",,,,,"Rare","A",764
,"HSV","GEN-F GTS",2014,"75,000","Modern Muscle",,,,,"Rare","A",747
,"Hudson","Hornet",1952,"66,000","Rods and Customs","Exclusive","S4 event, S7 FP","201812 Series 4",,"Rare","D",305
,"Hummer","H1 Alpha Open Top",2006,"250,000","Offroad","Exclusive","S18.1 event","202001 Series 18",,"Rare","D",382
,"Hummer","H1 Alpha",2006,"112,000","Offroad","Exclusive","Wheelspin, S10 event",,,"Epic","D",391
,"Hyundai","Veloster N",2019,"30,000","Super Hot Hatch",,,,,"Common","B",657
,"Infiniti","Q60 Concept",2015,"50,000","Super Saloons",,,,,"Common","A",757
,"Infiniti","Q50 Eau Rouge",2014,"100,000","Super Saloons",,,,,"Rare","A",783
,"International","Scout 800A",1970,"40,000","Offroad",,,,,"Common","D",334
,"Italdesign","Zerouno",2018,"250,000","Hypercars","Exclusive","Events (S13.1, S15.1)","201908 Series 13",,"Epic","S1",893
,"Jaguar","F-PACE S",2017,"55,000","Sports Utility Heroes",,,,,"Common","B",698
,"Jaguar","F-TYPE Project 7",2016,"190,000","Track Toys",,,,,"Rare","S1",805
,"Jaguar","F-TYPE R Coupe",2015,"110,000","GT Cars",,,,,"Epic","A",795
,"Jaguar","XKR-S GT",2015,"190,000","Track Toys","Exclusive","Horizon Life",,,"Legendary","A",798
,"Jaguar","XFR-S",2015,"110,000","Super Saloons",,,,,"Rare","A",755
,"Jaguar","XE-S",2015,"57,000","Super Saloons",,,,,"Rare","B",660
,"Jaguar","XKR-S",2012,"100,000","GT Cars",,,,,"Epic","A",782
,"Jaguar","XJ220",1993,"350,000","Retro Super Cars","Exclusive","Barn Find",,,"Legendary","S1",811
,"Jaguar","XJ-S",1990,"25,000","Cult Cars",,"S4 Ranked",,,"Common","C",557
,"Jaguar","Lightweight E-Type",1964,"10,000,000","Rare Classics",,,,,"Legendary","A",707
,"Jaguar","E-type S1",1961,"150,000","Rare Classics","Exclusive","Barn Find",,,"Legendary","C",539
,"Jaguar","Mk II 3.8",1959,"80,000","Classic Racers",,,,,"Common","D",414
,"Jaguar","D-Type",1956,"10,000,000","Classic Racers",,,,,"Legendary","C",513
,"Jaguar","XK120 SE",1954,"120,000","Rare Classics",,,,,"Epic","D",469
,"Jaguar","C-Type",1953,"5,000,000","Classic Racers","DLC store","Free w/DLC","FH4 Car Pass",,"Legendary","D",495
,"James Bond Edition","Aston Martin DB10 ",2015,"220,000","Modern Super Cars","DLC store","Free w/DLC","201809 Bond",,"Epic","S1",814
,"James Bond Edition","Jaguar C-X75 ",2010,"1,500,000","Modern Super Cars","DLC store","Free w/DLC","201809 Bond",,"Epic","S1",900
,"James Bond Edition","Aston Martin DBS ",2008,"325,000","GT Cars","DLC store","Free w/DLC","201809 Bond",,"Epic","A",779
,"James Bond Edition","BMW Z8 ",1999,"150,000","Retro Sports Cars","DLC store","Free w/DLC","201809 Bond",,"Rare","A",720
,"James Bond Edition","Aston Martin V8 ",1986,"200,000","Retro Sports Cars","DLC store","Free w/DLC","201809 Bond",,"Epic","B",620
,"James Bond Edition","Citroen 2CV6 ",1981,"80,000","Cult Cars","DLC store","Free w/DLC","201809 Bond",,"Rare","D",100
,"James Bond Edition","Lotus Esprit S1 ",1977,"550,000","Retro Super Cars","DLC store","Free w/DLC","201809 Bond",,"Legendary","C",541
,"James Bond Edition","AMC Hornet X Hatchback",1974,"35,000","Classic Muscle","DLC store","Free w/DLC","201809 Bond",,"Common","D",414
,"James Bond Edition","Aston Martin DBS ",1969,"650,000","Rare Classics","DLC store","Free w/DLC","201809 Bond",,"Legendary","B",612
,"James Bond Edition","Aston Martin DB5 ",1964,"650,000","Rare Classics","DLC store","Free w/DLC","201809 Bond",,"Legendary","B",618
,"Jeep","Grand Cherokee Trackhawk",2018,"73,000","Sports Utility Heroes","Exclusive","Horizon Life",,,"Rare","A",780
,"Jeep","Trailcat",2016,"75,000","Extreme Offroad","Exclusive","Horizon Life",,,"Rare","A",790
,"Jeep","Grand Cherokee SRT",2014,"80,000","Sports Utility Heroes","Exclusive","Wheelspin",,,"Rare","A",711
,"Jeep","Wrangler Unlimited Deberti Design",2013,"250,000","Extreme Offroad","Exclusive","Events (S11.4, S14.2)","201907 Series 11",,"Epic","A",796
,"Jeep","Wrangler Rubicon",2012,"50,000","Offroad",,,,,"Common","D",488
,"Jeep","CJ5 Renegade",1976,"60,000","Offroad",,,,,"Rare","D",417
,"Kia","Stinger",2018,"46,000","Super Saloons",,,,,"Common","A",715
,"Koenigsegg","Agera RS",2017,"2,000,000","Hypercars","DLC store","Free w/DLC","FH4 Car Pass",,"Legendary","S2",996
,"Koenigsegg","Regera",2016,"1,900,000","Hypercars",,,,,"Legendary","S2",972
,"Koenigsegg","One:1",2015,"2,850,000","Hypercars",,"S14.2 FP",,,"Legendary","S2",993
,"Koenigsegg","Agera",2011,"1,500,000","Hypercars",,,,,"Legendary","S2",920
,"Koenigsegg","CCGT",2008,"400,000","Extreme Track Toys","Exclusive","S15","201910 Series 15",,"Epic","S2",986
,"Koenigsegg","CCX",2006,"250,000","Hypercars","Exclusive","S11.3 FP","201907 Series 11",,"Legendary","S1",881
,"Koenigsegg","CC8S",2002,"320,000","Hypercars","DLC Exclusive","Fortune Island","201812 Fortune",,"Legendary","S1",883
,"KTM","X-Bow GT4",2018,"400,000","Extreme Track Toys","Exclusive","S10.1 FP, S16.1 event","201811 Series 3",,"Epic","S1",861
,"KTM","X-Bow R",2013,"105,000","Track Toys",,,,,"Rare","S1",819
,"Lamborghini","Urus",2019,"150,000","Sports Utility Heroes","DLC Exclusive","Fortune Island","201812 Fortune",,"Legendary","A",795
,"Lamborghini","Huracan Performante",2018,"250,000","Track Toys","Exclusive","S18.2 FP","202001 Series 18",,"Legendary","S1",900
,"Lamborghini","Centenario LP 770-4",2016,"2,300,000","Hypercars",,,,,"Legendary","S2",918
,"Lamborghini","Aventador LP750-4 SV",2016,"480,000","Hypercars","Exclusive","Wheelspin, S1 Ranked, S12.4 event",,,"Epic","S2",906
,"Lamborghini","Huracan LP 610-4",2014,"240,000","Modern Super Cars","Exclusive","Horizon Life",,,"Rare","S1",866
,"Lamborghini","Urus concept",2014,"230,000","Sports Utility Heroes",,,,,"Legendary","A",774
,"Lamborghini","Veneno",2013,"4,500,000","Hypercars",,,,,"Legendary","S2",943
,"Lamborghini","Aventador LP700-4 Forza Edition",2012,"560,000","Hypercars","Exclusive","S3 Ranked, S10 FP, S14.3 event",,"Speed Skills","FE","S1",879
,"Lamborghini","Aventador J",2012,"2,700,000","Hypercars","DLC Exclusive","Fortune Island","201812 Fortune",,"Legendary","S1",871
,"Lamborghini","Gallardo LP 570-4 Spyder Performante",2012,"280,000","Modern Super Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Common","S1",814
,"Lamborghini","Aventador LP700-4",2012,"310,000","Hypercars",,"S16.1 FP",,,"Epic","S1",882
,"Lamborghini","Sesto Elemento",2011,"2,500,000","Extreme Track Toys",,,,,"Legendary","S2",948
,"Lamborghini","Gallardo LP 570-4 Superleggera",2011,"180,000","Modern Super Cars",,,,,"Epic","S1",833
,"Lamborghini","Murcielago LP 670-4 SV",2010,"500,000","Modern Super Cars",,,,,"Legendary","S1",840
,"Lamborghini","Reventon Forza Edition",2008,"1,625,000","Modern Super Cars","Exclusive","Car Mastery Miura, S14.4 event, S15 Ranked",,"Credits","FE","S1",847
,"Lamborghini","Reventon",2008,"1,375,000","Modern Super Cars",,,,,"Legendary","S1",841
,"Lamborghini","Diablo GTR",1999,"250,000","Extreme Track Toys","Exclusive","S16.4 Playlist","201911 Series 16",,"Legendary","S2",915
,"Lamborghini","Diablo SV",1997,"175,000","Retro Super Cars",,,,,"Rare","A",787
,"Lamborghini","Countach LP5000 QV",1988,"220,000","Retro Super Cars",,,,,"Rare","A",759
,"Lamborghini","LM 002",1986,"180,000","Offroad",,,,,"Epic","C",553
,"Lamborghini","Jarama S",1972,"150,000","Retro Super Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Rare","C",559
,"Lamborghini","Miura P400",1967,"1,000,000","Rare Classics",,,,,"Legendary","B",619
,"Lancia","Delta HF Integrale EVO",1992,"60,000","Retro Rally","Exclusive","Wheelspin, Ranked S1; S6, S8, S10",,,"Rare","C",532
,"Lancia","Delta S4",1986,"146,000","Retro Rally",,,,,"Epic","B",638
,"Lancia","037 Stradale",1982,"95,000","Retro Rally",,,,,"Epic","C",590
,"Lancia","Stratos HF Stradale",1974,"550,000","Classic Rally",,"Event S5, Trial S17.2",,,"Legendary","C",544
,"Lancia","Fulvia Coupe Rallye 1.6 HF",1968,"60,000","Classic Rally",,,,,"Rare","D",490
,"Land Rover","Range Rover Sport SVR",2015,"133,000","Sports Utility Heroes",,,,,"Epic","A",752
,"Land Rover","Defender 90",1997,"30,000","Offroad",,,,,"Rare","D",357
,"Land Rover","Range Rover",1973,"50,000","Offroad","Exclusive","Barn Find (Seasonal)",,,"Legendary","D",235
,"Land Rover","Series III",1972,"20,000","Offroad",,,,,"Common","D",100
,"Land Rover","Series III Forza Edition",1972,"270,000","Offroad","Exclusive","Wheelspin",,"Destruction","FE","D",126
,"LEGO Speed Champions","McLaren Senna",2019,"1,000,000","Hypercars","DLC Exclusive","LEGO start","201906 LEGO SC",,"Legendary","S2",978
,"LEGO Speed Champions","Bugatti Chiron",2019,"Free","Hypercars","DLC Exclusive","LEGO","202002 Series 19",,"Legendary","S2",937
,"LEGO Speed Champions","Ferrari F40 Competizione",1987,"3,000,000","Extreme Track Toys","DLC Exclusive","LEGO bricks","201906 LEGO SC",,"Legendary","S2",973
,"LEGO Speed Champions","Mini Cooper S Rally",1967,"500,000","Rally Monsters","DLC Exclusive","LEGO bricks","201906 LEGO SC",,"Legendary","S1",831
,"Lexus","LFA",2010,"500,000","Modern Super Cars","Exclusive","S19.1 FP","202002 Series 19",,"Epic","S1",826
,"Local Motors","Rally Fighter",2014,"100,000","Extreme Offroad",,"S15 Ranked",,,"Epic","A",760
,"Lola","#6 Penske Sunoco T70 MkIIIB",1969,"850,000","Classic Racers",,,,,"Legendary","S1",828
,"Lotus","3-Eleven",2016,"150,000","Track Toys",,,,,"Rare","S1",870
,"Lotus","Exige S",2012,"85,000","Modern Sports Cars",,,,,"Rare","A",772
,"Lotus","Evora S",2011,"43,000","Modern Sports Cars",,,,,"Rare","A",748
,"Lotus","2-Eleven",2009,"130,000","Track Toys","Exclusive","Wheelspin, S13.4 event",,,"Rare","S1",813
,"Lotus","Elise 111S",2005,"45,000","Retro Sports Cars","Exclusive","Wheelspin",,,"Rare","B",650
,"Lotus","Esprit V8",2002,"42,000","Retro Super Cars",,,,,"Rare","A",756
,"Lotus","340R",2000,"40,000","Retro Sports Cars",,,,,"Rare","A",706
,"Lotus","Elise Series 1 Sport 190",1999,"81,000","Track Toys","Exclusive","S7 event, S14 Ranked","201903 Series 7",,"Legendary","A",728
,"Lotus","Elise GT1",1997,"1,800,000","Track Toys","Exclusive","Barn Find",,,"Legendary","S1",815
,"Lotus","Elan Sprint",1971,"57,000","Classic Sports Cars",,,,,"Rare","D",456
,"Lotus","Eleven",1956,"140,000","Classic Racers",,,,,"Rare","C",553
,"Maserati","Levante S",2017,"85,000","Sports Utility Heroes","Exclusive","Event S5, FP S17.1","201901 Series 5",,"Rare","A",723
,"Maserati","Ghibli S Q4",2014,"250,000","Super Saloons","Exclusive","S10 event","201906 Series 10",,"Legendary","A",737
,"Maserati","Gran Turismo S",2010,"156,000","GT Cars",,,,,"Rare","A",727
,"Maserati","MC12 Versione Corsa",2008,"2,500,000","Extreme Track Toys","Exclusive","S9 FP","201905 Series 9",,"Legendary","S2",993
,"Maserati","MC12 Forza Edition",2004,"1,250,000","Extreme Track Toys","Exclusive","Car Mastery (300S), Ranked (S8, S14)",,"Speed Skills","FE","S2",945
,"Maserati","MC12",2004,"1,000,000","Retro Super Cars",,,,,"Epic","S1",861
,"Maserati","Tipo 61 Birdcage",1961,"2,400,000","Classic Racers",,"Ranked S17",,,"Legendary","A",747
,"Maserati","300 S",1957,"6,000,000","Classic Racers",,,,,"Legendary","B",668
,"Maserati","A6GCS/53 PininFarina Berlinetta",1953,"2,000,000","Rare Classics",,"Event S17.1",,,"Legendary","D",486
,"Maserati","8CTF",1939,"10,000,000","Vintage Racers",,,,,"Legendary","B",648
,"Mazda","MX-5",2016,"35,000","Modern Sports Cars",,,,,"Common","B",625
,"Mazda","MX-5",2013,"26,000","Modern Sports Cars",,,,,"Common","C",525
,"Mazda","RX-8 R3",2011,"27,000","Modern Sports Cars",,,,,"Common","B",638
,"Mazda","Mazdaspeed MX-5",2005,"25,000","Retro Sports Cars",,,,,"Common","B",605
,"Mazda","RX-7 Spirit R Type-A",2002,"25,000","Retro Sports Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Common","A",711
,"Mazda","RX-7",1997,"35,000","Retro Sports Cars",,,,,"Common","B",681
,"Mazda","MX-5 Miata",1994,"25,000","Retro Sports Cars",,,,,"Common","D",428
,"Mazda","Savanna RX-7",1990,"25,000","Retro Sports Cars",,,,,"Common","C",561
,"McLaren","Speedtail",2019,"1,000,000","Hypercars","Exclusive","S20.1 FP","202003 Series 20",,"Legendary","S2",940
,"McLaren","720S Spider",2019,"250,000","Modern Super Cars","Exclusive","S14.4 event, S20.1 FP","201909 Series 14",,"Epic","S2",914
,"McLaren","720S Coupe Preorder Car",2018,"340,000","Modern Super Cars","DLC promo","Free w/DLC","FH4 Retail Bonus",,"Epic","S2",998
,"McLaren","Senna",2018,"1,000,000","Hypercars",,"Pre-release gift code",,,"Legendary","S2",977
,"McLaren","720S Coupe",2018,"340,000","Modern Super Cars",,,,,"Epic","S2",929
,"McLaren","600LT Coupe",2018,"250,000","Track Toys","Exclusive","S14.1 FP, S16.1 event, S20 FP","201909 Series 14",,"Legendary","S1",890
,"McLaren","650S Coupe",2015,"420,000","Modern Super Cars",,,,,"Epic","S1",877
,"McLaren","570S Coupe",2015,"224,000","Modern Super Cars",,,,,"Epic","S1",848
,"McLaren","650S Spider",2014,"420,000","Modern Super Cars","DLC store","Free w/DLC","FH4 Car Pass",,"Epic","S1",873
,"McLaren","P1",2013,"1,350,000","Hypercars",,,,,"Legendary","S2",962
,"McLaren","P1 'Owen's Edition'",2013,"1,200,000","Hypercars","Private",,"201909 Series 14",,"Legendary","S2",957
,"McLaren","12C Coupe",2011,"250,000","Modern Super Cars","Exclusive","S11.2 event","201907 Series 11",,"Legendary","S1",854
,"McLaren","F1 GT",1997,"5,200,000","Retro Super Cars",,,,,"Legendary","S1",888
,"McLaren","F1",1993,"2,000,000","Retro Super Cars",,,,,"Legendary","S1",826
,"Mercedes-AMG","GT 4-Door Coupe",2018,"105,000","Super Saloons","Exclusive","S8 FP","201904 Series 8",,"Rare","A",797
,"Mercedes-AMG","GT R Preorder Car",2017,"295,000","Super GT","DLC promo","Free w/DLC","FH4 Retail Bonus",,"Epic","S1",900
,"Mercedes-AMG","GT R",2017,"295,000","Super GT",,,,,"Epic","S1",858
,"Mercedes-AMG","C 63 S Coupe",2016,"90,000","Super Saloons",,,,,"Rare","A",777
,"Mercedes-AMG","GT S",2015,"157,000","Super GT",,,,,"Rare","S1",820
,"Mercedes-Benz","X-Class",2018,"65,000","Offroad","Exclusive","S8 FP, S11.2 event","201904 Series 8",,"Rare","D",417
,"Mercedes-Benz","E 350 D 4Matic All-Terrain ""Project E-AT""",2017,"250,000","Offroad","Exclusive","Story: Top Gear","201907 Series 11",,"Epic","C",578
,"Mercedes-Benz","#24 Tankpool24 Racing Truck",2015,"500,000","Trucks",,"S15 Ranked",,,"Epic","B",682
,"Mercedes-Benz","G 63 AMG 6x6",2014,"250,000","Offroad","Exclusive","Story: Top Gear","201907 Series 11",,"Legendary","B",674
